문제번호,문제,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,용어,용어ID,일련번호
1,병원통계의 목적이 잘 설명된 것은?,,진료평가 활동의 기준 지침이 됨,외부기관의 요구에 방어하기 위한 자료임,병원의 혁신과 인력 수급을 위한 기준 지표임,의학연구 및 효율적 병원운영에 필요한 자료를 제공함,사용된 용어의 정확한 정의를 내리기 위한 자료를 제공함,4,"• 효율적인 병원 운영에 필요한 자료를 즉시 제공
• 의학연구에 필요한 자료를 제공: 수술통계, 질병별 통계, 각종 사망률 등에 자료가 의학연구에 필요한 자료로 산출
• 외부기관에 보고해야 할 통계를 제공: 병원표준화심사, 수련병원실태조사, 의료기관 서비스평가
• 진료평가 활동에 참고자료로 사용: 적정진료보장, 의료이용도 조사",의료기관,108,2
2,2025년 4월 24일에 입원하여 다음 달인 5월 15일에 퇴원한 환자의 재원일수는?,,20일,21일,22일,23일,24일,2,4월의 재원일수 + 5월의 재원일수 = (30-24) + 15 = 21일,재원일수,213,60
3,"통계에서 교육수준, 보험 종류 등 기본적으로 숫자로 표시할 수 없는 자료를 뜻하는 용어는?",,모수,표본,모집단,질적자료,양적자료,4,"• 질적자료: 범주형 자료(categorical data), 숫자로 표시할 수 없는 자료 (교육수준, 보험 종류 등)",질적자료,246,124
4,"신생아의 키, 몸무게, 아프가점수를 환자별로 숫자로 표현한 자료 등을 뜻하는 용어는?",,모수,표본,모집단,질적자료,양적자료,5,"자료 자체가 숫자로 표현되어 있는 질적자료와는 달리 자료의 속성을 그대로 반영하는 숫자로 표현하는 자료 (환자의 키, 몸무게, 나이, 혈압 등)",양적자료,247,125
5,다음 사례에서 신장내과의 2025년 4월 평균재원일수는?,"<신장내과 2025년 4월>
• 4월 퇴원환자 수: 650명
• 총 재원일수: 10,400일",9일,9.5일,10일,11일,16일,5,"평균재원일수: 기간 중 퇴원한 환자들이 평균 며칠씩 재원하였는가를 알 수 있음= 기간 중 퇴원환자의 총 재원일수 / 기간 중 총 퇴원환자 수= 10,400 / 650 = 16일",평균재원일수,18,62
6,다음 설명에 맞는 것은?,"• 성별: 남자(1), 여자(0)로 표시
• 혈액형: A형(1), B형(2), O형(3), AB형(4)로 표시
• 측정대상의 특성을 명칭으로 구별",명목척도,간격척도,비율척도,서열척도,비교척도,1,"측정척도의 종류: 명목척도, 간격척도, 비율척도, 서열척도
• 명목척도(nominal scale): 측정대상의 특성을 명칭으로 구별하는 척도","명목(범주, 유목)척도",263,90
7,사례와 같이 환자의 만족도를 알아보는 측정척도는?,"입원기간 중 우리병원에서 받은 의료서비스에 대하여 어느 정도 만족하십니까?
① 매우 불만이다.
② 불만이다.
③ 보통이다.
④ 만족한다.
⑤ 매우 만족한다.",명목척도,간격척도,비율척도,서열척도,비교척도,4,"서열척도(ordinal scale): 측정대상의 특성을 상대적 크기에 따라 순서로서 구분할 수 있는 척도, 측정대상 간 서열관계가 있음",순위(서열)척도,266,91
8,다음 설명과 관련된 통계 용어는?,"• 관심의 대상이 되는 모든 환자의 관측값이나 측정값의 집합
• 조사하고자 하는 내용이 정의되어 있는 조사단위의 전체",변수,표본,오차,모수,모집단,5,모집단(population): 관심의 대상이 되는 모든 환자의 관측값이나 측정값의 집합으로 조사하고자 하는 내용이 정의되어 있는 조사단위의 전체를 의미함,모집단,252,126
9,다음 제시한 예와 같은 변수는?,"혈압(BP), Total bilirubin, Age, Body Wt., Ht",모변수,이산변수,양적변수,유한변수,질적변수,3,"변수의 분류
• 질적변수: 질적자료 값을 가지는 변수(성별)
• 양적변수: 키, 몸무게, 나이와 같은 양적자료 값을 가지는 변수",양적변수,250,125
10,다음 설명과 관련 있는 것은?,"• 통계적 처리를 위하여 모집단에서 실제로 추출한 관측값이나 측정값의 집합
• 모집단에서 추출된 일부의 집단",변수,표본,오차,평균,모집단,2,표본(sample): 모집단에서 추출된 일부의 집단 또는 모집단에서 실제로 추출한 관측값이나 측정값의 집합,표본,253,127
